date	smin	smax	smean	tmean
01/01/2009 	18.233032  	23.65660   	20.59690   	 1.85405290
02/01/2009 	17.284767  	23.87146   	20.33340   	 1.74992719
03/01/2009 	17.886324  	24.05471   	20.65665   	 1.43560912
04/01/2009 	18.845860  	22.47219   	20.15165   	 1.49684192
05/01/2009 	16.681561  	23.72060   	20.11867   	 1.49534343
06/01/2009 	18.401104  	24.36368   	21.99636   	 1.05223369
07/01/2009 	18.428425  	23.72477   	21.73544   	 0.97448559
08/01/2009 	18.884069  	23.56863   	21.67819   	 0.77069979
09/01/2009 	19.356396  	23.36947   	21.61211   	 0.70925963
10/01/2009 	18.657360  	23.57470   	21.45760   	 0.54408308
11/01/2009 	19.759792  	23.76065   	22.60205   	 0.75546827
12/01/2009 	21.410788  	27.99115   	24.11349   	 1.31238411
13/01/2009 	22.522135  	29.20847   	25.61589   	 2.07101684
14/01/2009 	22.043612  	28.43298   	24.95196   	 2.15696558
15/01/2009 	20.273323  	27.87948   	23.88306   	 1.99307022
16/01/2009 	19.994694  	26.44109   	24.14839   	 2.09801521
17/01/2009 	22.832026  	25.74463   	24.20443   	 2.29690227
18/01/2009 	22.865396  	26.73271   	24.43605   	 2.70804705
19/01/2009 	21.887924  	28.52110   	26.20537   	 2.89796498
20/01/2009 	25.511908  	29.53811   	27.47646   	 2.97187912
21/01/2009 	25.475651  	29.49528   	27.75299   	 2.87025817
22/01/2009 	25.939985  	29.50241   	28.09222   	 2.63951105
23/01/2009 	25.052055  	29.79039   	28.21010   	 2.60263709
24/01/2009 	26.154091  	28.38948   	27.34302   	 2.79767873
25/01/2009 	25.970655  	28.30911   	27.06532   	 2.80094770
26/01/2009 	26.044790  	27.77733   	27.07547   	 2.61851154
27/01/2009 	22.689501  	27.44695   	26.11484   	 2.31726955
28/01/2009 	20.969479  	26.93483   	25.30224   	 2.04643203
29/01/2009 	19.450361  	25.86232   	24.21433   	 1.78213071
30/01/2009 	20.651295  	25.53540   	23.74809   	 1.51147757
31/01/2009 	22.683205  	25.20015   	23.98180   	 1.24624023
01/02/2009 	22.223700  	24.67519   	23.38007   	 0.75688481
02/02/2009 	22.417471  	24.13872   	23.28527   	 0.39684814
03/02/2009 	23.296022  	24.60753   	23.99012   	 0.66275850
04/02/2009 	23.192272  	24.68678   	24.02432   	 0.79379390
05/02/2009 	23.341410  	25.48146   	24.36359   	 0.92887968
06/02/2009 	23.576817  	25.64018   	24.56075   	 1.20429955
07/02/2009 	22.564360  	25.15946   	24.07723   	 1.34743424
08/02/2009 	22.283556  	25.08049   	23.70181   	 1.49356182
09/02/2009 	21.291546  	25.43616   	23.47125   	 1.53137517
10/02/2009 	21.151279  	24.96437   	23.12577   	 1.57972798
11/02/2009 	19.206711  	24.84299   	22.42615   	 1.77470353
12/02/2009 	19.047831  	25.86059   	22.70284   	 2.01760897
13/02/2009 	19.131216  	25.82644   	22.91989   	 2.18305391
14/02/2009 	16.076761  	25.75860   	22.16089   	 2.00366798
15/02/2009 	18.220049  	25.76954   	22.16047   	 2.00246799
16/02/2009 	18.437153  	23.77531   	21.07597   	 2.33361159
17/02/2009 	17.549824  	23.21598   	21.09637   	 2.80259812
18/02/2009 	18.390043  	23.52665   	21.19583   	 2.66832134
19/02/2009 	19.244202  	22.08475   	20.85046   	 2.56987819
20/02/2009 	17.559168  	21.47762   	20.07207   	 2.78070843
21/02/2009 	17.037317  	21.96235   	19.52725   	 3.00513617
22/02/2009 	16.627409  	21.51756   	19.15639   	 3.21458317
23/02/2009 	17.498634  	21.68125   	19.28242   	 3.84734487
24/02/2009 	13.400114  	21.91322   	18.67282   	 3.97175588
25/02/2009 	14.191616  	21.14830   	18.39262   	 4.01071054
26/02/2009 	16.076687  	20.51468   	18.33901   	 4.27233875
27/02/2009 	15.404897  	20.00828   	17.62408   	 4.72857413
28/02/2009 	14.665740  	21.32409   	17.70347   	 5.01487919
01/03/2009 	14.179777  	21.77006   	18.16347   	 5.00964910
02/03/2009 	15.678275  	21.76768   	19.05578   	 5.16243681
